time	V_in
1.03366235185041533E-7	-1.64809987232910649E-2
1.03420548574231197E-7	-1.64035291207264877E-2
1.03488433628357135E-7	-1.62926070298894832E-2
1.03566575894933988E-7	-1.61473486013577472E-2
1.03617467376781103E-7	-1.60450121351042041E-2
1.03671971199390800E-7	-1.59229709254412777E-2
1.03739871646906656E-7	-1.57513929222177196E-2
1.03815522454199582E-7	-1.55319561582858312E-2
1.03866198839970192E-7	-1.53707556946642399E-2
1.03920505056276391E-7	-1.51884236065268485E-2
1.03988409003831106E-7	-1.49567434196401261E-2
1.04066644320824686E-7	-1.46937768209267627E-2
1.04117546005320061E-7	-1.45307597881803341E-2
1.04172060993036175E-7	-1.43643169007145022E-2
1.04239974885206066E-7	-1.41667437275870856E-2
1.04315483643998808E-7	-1.39533919514921045E-2
1.04366149797185703E-7	-1.38130182009580427E-2
1.04420447109938141E-7	-1.36632977193566019E-2
1.04488362723277195E-7	-1.34771117678577568E-2
1.04566714144783068E-7	-1.32655440189049201E-2
1.04617627570619476E-7	-1.31349307138878024E-2
1.04672154094375625E-7	-1.30047551080703627E-2
1.04740078449735474E-7	-1.28650680069913204E-2
1.04815439397051557E-7	-1.27422694067106135E-2
1.04866094673151733E-7	-1.26806482589988967E-2
1.04920382033182347E-7	-1.26280394102548077E-2
1.04988308437309752E-7	-1.25712796503559576E-2
1.05066789614084710E-7	-1.25084668142252786E-2
1.05117716018266227E-7	-1.24620125194852172E-2
1.05172254969075474E-7	-1.24075143007036481E-2
1.05240190135090517E-7	-1.23337980413746084E-2
1.05315391844374129E-7	-1.22436892558897203E-2
1.05366035484071174E-7	-1.21762737508476881E-2
1.05420312027940555E-7	-1.20965323038175110E-2
1.05488250457190813E-7	-1.19895483977474915E-2
1.05566872421489566E-7	-1.18613639037527285E-2
1.05617812993875582E-7	-1.17827433330474340E-2
1.05672365467459350E-7	-1.17011529231946931E-2
1.05740312965257610E-7	-1.16009500829425805E-2
1.05815341797598794E-7	-1.14870841258622347E-2
1.05865973012016079E-7	-1.14027543622656369E-2
1.05920237924536265E-7	-1.13045203247014969E-2
1.05988190504463309E-7	-1.11708652525213004E-2
1.06066963492675281E-7	-1.10047979902607374E-2
1.06117919436602981E-7	-1.08926464800813916E-2
1.06172486635446117E-7	-1.07738749395531208E-2
1.06240448546530364E-7	-1.06290944486074479E-2
1.06315289760014409E-7	-1.04722669853322814E-2
1.06365907769972523E-7	-1.03672405336414375E-2
1.06420160254957685E-7	-1.02566132237679164E-2
1.06488129672776610E-7	-1.01262166960915101E-2
